id,content,user_id,article_id,created_at,updated_at
98,"俳優・堺雅人が3日、都内で行われたフジテレビ系ドラマ『リーガルハイ』(10月9日スタート、毎週水曜 後10:00※初回30分拡大)の完成披露試写会後、舞台あいさつに登壇。堺雅人、『リーガルハイ』長期続編プラン熱弁「ダラダラ食いつないでいきたい」 同作は、堺演じる偏屈で毒舌だが、訴訟の勝率100%の敏腕弁護士・古美門と、女優・新垣結衣演じる要領は悪いが真面目で正義感の強い弁護士・黛の凸凹コンビが活躍する法廷コメディードラマ(2012年4月期放送)の続編。舞台あいさつには、堺のほかに、新垣、岡田将生、田口淳之介、松平健が出席。4月にはスペシャルドラマも放送された。",6,142,"2013-10-03 23:41:05.843965","2013-10-03 23:41:05.843965"
99,"現在の東京―名古屋間の新幹線の移動時間が1時間40分なので、1時間も短縮できるというのはかなりの時短。私は移動時間ほど無駄な時間はないと思っていますので、ぜひ東京―新大阪間も早く開通して欲しいと思います。もしくは新聞や本を読んだり。とにかくプレゼン資料作成に100分全部をつぎ込んでも問題はありませんが、ある時間管理術を使うと、集中力を維持しつつ複数タスクをこなすことが可能です。 その時間管理術とは、『ポモドーロテクニック』。1タスク=1ポモドーロとし、1ポモドーロと1ポモドーロの間には5分間の休憩を入れます。これは、だいたい新幹線の移動時間と同じです。仕事のメリハリもつくので効果的です。",6,140,"2013-10-03 23:41:06.194689","2013-10-03 23:41:06.194689"
100,"　皆さんは新幹線での移動中、何をしていますか？ ある時間管理術を使うと、集中力を維持しつつ複数タスクをこなすことが可能です。 
　その時間管理術とは、『ポモドーロテクニック』。 これは25分毎に時間を区切って仕事をする時間管理術のことで、フランシスコ・シリロ氏が1992年に提唱しました。1タスク=1ポモドーロとし、1ポモドーロと1ポモドーロの間には5分間の休憩を入れます。4ポモドーロ(2時間)ごとに30分の長い休憩を取る、というのが一区切りとなります。
　25分だけ作業するというのがポイントで、この短時間で作業に集中することで、生産性を高めることができます。仕事のメリハリもつくので効果的です。 ",1,140,"2013-10-04 12:33:05.110310","2013-10-04 12:33:05.110310"
101,"最近よく「ええっ、結婚したの!? この春!? やだ、新婚さんじゃない、んもー、早く言ってよー!!」となじられる。そう、私のステータスが「独身」から「新婚」へと変更されると、周囲の年浅い既婚者たちが、次々に「新婚」ステージから離脱していく。結婚するつもりじゃなかった。「ずっと独身でいるつもり」だった。私たち夫婦が「新婚さん」でいられる期間は、そう長くはない。「海へ行くつもりじゃなかった」というタイトルのアルバムに、砂浜へ辿り着いた後のジャケット写真が添えられているように。嫁へ行くつもりじゃなかった、とつぶやき続ける女が、うつむきがちながらも前を向いて、結婚生活をテーマに書いてみたいと思います。",6,143,"2013-10-04 23:41:06.054581","2013-10-04 23:41:06.054581"
102,"俳優･堺雅人主演のフジテレビ系ドラマ『リーガルハイ』(10月9日スタート 毎週水曜22:00～22:54)の予告CMで、堺演じる弁護士･古美門研介のセリフ「やられてなくてもやり返す!」が話題になっている。「なんの罠だ…なんの茶番なんだよこれは!」という古美門の絶叫ではじまる予告CM。同作は、昨年4月期の連続ドラマとして放送され、人気を博した『リーガルハイ』の第2弾。その直後の堺主演作ということもあって注目を集めていた『リーガルハイ』だが、今回の局をまたいだパロディでさらに初回放送後も話題を集めそうだ。",6,144,"2013-10-04 23:41:06.181871","2013-10-04 23:41:06.181871"
103,"昔から飲み屋のトラブルで後を絶たないのが「ぼったくり」だ。一方で増えているのが、「あれ、予想していた額よりちょっと多くない?」くらいのきわどい商法をするプチぼったくり店だ。今回、取材班が潜入した店の客引きの言葉がコレ。支払いはひとり当たり3200円……。客引きの言葉にウソはないが、さすがにふたりでお新香×4を頼む勇気はないだろう。味は……あくまで取材班の意見だが、イマイチ。ちなみに、お通しは420円だ。このサービス料、バーなどでは一般的だが、普通の居酒屋だと無い店も多い。とはいえ繁華街の居酒屋は玉石混交。週刊プレイボーイ40号「繁華街で横行!!プチぼったくり居酒屋にダマされるな!!」より。",6,145,"2013-10-05 23:41:06.163044","2013-10-05 23:41:06.163044"
104,"そんな、いざというときのために知っておきたい葬式とお墓に関するお役立ち情報を専門家に聞く!。人生いろいろ、お墓もいろいろ［お墓事情］驚リポート。【ニューデザインお墓】。最近は四角四面の墓石じゃなく、デザインに凝ったお墓もある。【ネット墓地】。土地・墓石不要でインターネット上に仮想のお墓を作るサービス……ではないという。初年度は登録料5250円で、翌年からは年会費2100円。【ハイテク墓地】。屋内墓地ではハイテクな進化も。基本的に宗旨、宗派を問わず、水や花も用意してあり手ぶらで参拝できるという気軽さは、いかにも現代的なサービスだ。― 30～40代のための［葬式&お墓］新常識【9】 ―。",6,146,"2013-10-05 23:41:06.651139","2013-10-05 23:41:06.651139"
105,"最近増えているのが、「予想よりちょっと多くない？」くらいのきわどい商法をする“プチぼったくり店”だ。
「お通しとおつまみをひとり２品ずつ頼べば、飲み放題が２時間９８０円。おつまみは２９０円からあるので、安心してください！」
入店してメニューを見ると、２９０円の料理はお新香一品だけ。客引きの言葉にウソはないが、さすがにふたりでお新香×４を頼む勇気はないだろう。他のメニューを頼もうとすると、強気な価格のオンパレード。味は……あくまで取材班の意見だが、イマイチ。ちなみに、お通しは４２０円だ。
そしてサービス料が、トータル額の１０％。これらを合計すると、「予想よりちょっと多くない？」となってしまうワケだ。",1,145,"2013-10-06 00:07:51.160110","2013-10-06 00:07:51.160110"
106,"◆人生いろいろ、お墓もいろいろ［お墓事情］驚リポート
【ニューデザインお墓】
最近は四角四面の墓石じゃなく、デザインに凝ったお墓もある。ハート型の墓石や登山好きだった方で山の形とか。
【ネット墓地】
基本はすでにお墓をお持ちの方が対象です。最初にご遺族から故人のお墓の写真を送っていただき、弊社がネット上にアップするという流れ。あくまで海外で暮らしていたり、高齢で足腰の悪いご遺族の方々のために生まれたサービス。
【ハイテク墓地】
ICカードをかざすと約1分で納骨堂から厨子というお骨の入った箱が運ばれ、参拝口の墓石にセットされる。すると、参拝口の扉が開いてお参りができるという仕組みです。",1,146,"2013-10-06 00:15:55.604109","2013-10-06 00:15:55.604109"
107,"一日も早く起業したい人が「やっておくこと、知っておくべきこと」読了。起業 |  08:37 |   。こんにちは、広告配信の最適化で常に頭が一杯な@yutakikucです。スタートアップを目指す人は必読!起業成功マニュアルの前半を読んでまとめを書きました - Yuta.Kikuchiの日記 。スタートアップを目指す人は必読!起業成功マニュアルの後半を読んでまとめを書きました - Yuta.Kikuchiの日記 。無駄無駄無駄無駄無駄ァ! - The Lean StartUpから学ぶ無駄の無い起業プロセス - - Yuta.Kikuchiの日記 。強みを活かすことが起業/独立への成功の近道。",6,148,"2013-10-06 23:41:05.883080","2013-10-06 23:41:05.883080"
108,"コンビニ側が客のトイレ使用を断るとき、「当店にはトイレはありません」ということもあるが、各店舗に従業員用は必ずあるわけで、トイレがないということはほぼあり得ない。トイレ管理が店全体の管理につながっている。今では、トイレを貸してくれるほうが主流である。店によっては「男女トイレが分かれている」「男性のみの立ち式トイレがある」「赤ちゃんの待機する場所がある」など、コンビニトイレも侮れない状況になってきている。トイレを借りるとき、よく見かけるのがトイレをご利用の際は、従業員に一声おかけくださいの貼り紙である。海外に行くと、公衆トイレは少なく、あっても有料だったりとトイレに困ることが多い。",6,147,"2013-10-06 23:41:06.041092","2013-10-06 23:41:06.041092"
109,"ソフトバンクとスプリントが直面する先進国通信市場の課題。ソフトバンクのスプリント買収の発表から2週間あまりが過ぎ、過熱した報道も一段落した。別記事「ソフトバンク、米スプリントの買収を正式発表 世界3位の移動体通信事業者へ」より。ソフトバンクが全米第3位の携帯電話会社スプリント・ネクステル(以下スプリント)の買収を発表してから、2週間あまりが過ぎた。一方、スプリントは、先進国の通信事業者の課題を、抱え込んでいるように見える。こうしたリスクを負いながら、ソフトバンクとスプリントは、どこへ向かうのか。トークイベント緊急開催のご案内。  「ソフトバンクによるスプリント買収は業界地図をどう変えるのか」。",6,150,"2013-10-07 23:41:06.556275","2013-10-07 23:41:06.556275"
110,"男性のみなさん、女性は浮気をしない生き物だと思っていないだろうか。女性だって男性と同じくらい浮気をするが、ただそれを武勇伝として人にベラベラ話さないだけなのだ。不倫専門の出会い系サイトAshley Madisonが1万245人のイギリス人女性を対象に調査をおこなったところ、女性が最も浮気に走りやすい年齢は25～34歳で、実に35.1%の人が浮気経験アリと答えたとか。次に浮気が多いのは35～44歳で、30.4%が経験済みだったという。また、浮気経験者の76.9%は、「浮気をしても夫または彼氏への愛は変わらない」と答えたほか、95.1%は「浮気は浮気であり、本気ではない」と断言したそう。",6,151,"2013-10-07 23:41:06.944695","2013-10-07 23:41:06.944695"
111,"さらに11月、1月と続き、やはり寒い時期が多いようだ。一方少ない順で見ると6月、5月、7月となっている。寒いと風邪を引くという因果関係は、数字からも読み取れる写真提供/gettyimages。本格的な冬の到来を感じる今日このごろ。そういえば、一般的に寒くなると風邪を引きやすくなるといわれているけど、改めて考えてみると寒さと風邪を引くとの関係はよく分からない。でも、多くのウイルスの性質上、寒いほうが風邪を引きやすいというなら、北国のほうが南国よりも風邪を引く人が多いってこと?。人間の体ってなんとも不思議ですね。(中山秀明/GRINGO&Co.)。",6,149,"2013-10-07 23:41:07.352233","2013-10-07 23:41:07.352233"
112,"@font-face {。font-family: 'Sosa';。src: url('<%= asset_path('sosa.eot') %>');。url('<%= asset_path('sosa.woff') %>') format('woff'),。url('<%= asset_path('sosa.ttf') %>') format('truetype');。content: attr(data-icon);。font-family: Sosa;。padding-right: 0.2em;。content: attr(data-icon);。font-family: Sosa;。",6,157,"2013-10-08 23:41:05.622354","2013-10-08 23:41:05.622354"
113," 色鮮やかにデザインを一新した新100ドル札が、米国時間10月8日に流通を開始する。米連邦準備制度理事会(FRB)は、セキュリティのための特徴を多数備える新100ドル紙幣を発行すると発表していた。最も注目すべきは、青い3Dのセキュリティリボンと、傾けると色が変わる自由の鐘の図柄だ。また、紙幣を動かすとインクつぼの中の自由の鐘の絵が変化する。目的は、偽造がさらに難しい紙幣を作ることにあった。APによると、100ドル紙幣は米国外で最も偽造されている紙幣だという。FRBは100ドル札のほかにも、5ドル、10ドル、20ドル紙幣のデザインを刷新している。",6,156,"2013-10-08 23:41:06.878572","2013-10-08 23:41:06.878572"
114,"先日ふと「なんで法定速度以上のスピードがでる車が売っているのかな」という、こんな疑問が浮かんできました。聞くまでの経緯はこちら 【自動車メーカー4社聞いてみた】法定速度以上のスピードがでる車を作って販売している理由を自動車メーカー4社に問い合わせしてみた。問い合わせ先。TOYOTAよくあるお問い合わせ。(*)=====================。自動車は、日本の制限速度以上の車を開発するが。=======================。お問い合わせいただきましたご質問内容1.どうして自動車は、日本の制限速度以上の車を開発するのか。結論と、なんで問い合わせしたかの本当の理由。終わり。",6,155,"2013-10-08 23:41:10.125072","2013-10-08 23:41:10.125072"
115,"実際に実行できる環境を作った。でもホワイトノイズを聴くしかできない。CoffeeCollider - GitHub Pages。実行環境はこういう構成になっている。window がコード(通常使用のJavaScript)を実行する場所。iframe は言語ライブラリの実装場所、CoffeeColliderのコードはここで実行される。worker は信号処理を行う場所。<script src=""coffee-script.js""></script>。<script src=""coffee-collider.js""></script>。var cc = new CoffeeCollider();。",6,154,"2013-10-08 23:41:10.221794","2013-10-08 23:41:10.221794"
116,"記事のコンセプト。タイトルに含めた通り、実際にコードを書いて試してみることでBackbone.jsの理解を深めることを一番の目的としています。なので、ぜひ実際に記事の中に出てくるコードを書いて、動かして、コンソールのログや動作を確認することをおススメします。",6,152,"2013-10-08 23:41:10.329229","2013-10-08 23:41:10.329229"
117,"JavaScriptの言語仕様に関するルール。JavaScriptのスタイルに関するルール。JavaScriptにおけるデータ型。JavaScriptの言語仕様に関するルール。var foo = function() {}; 。this.bar = value; 。var o = {};。var o2 = { 。};。JavaScriptのスタイルに関するルール。veryDescriptiveArgumentNumberOne,。veryDescriptiveArgumentTwo,。// ...。veryDescriptiveArgumentTwo,。JavaScriptにおけるデータ型。",6,153,"2013-10-08 23:41:10.732000","2013-10-08 23:41:10.732000"
118,"1. グローバル変数は大文字。PATH や HOME など、環境変数が大文字なので、エクスポートする変数を大文字で書くという習慣は一般的であるような気がしますが、エクスポートする変数を抱えるシェルスクリプトを作成する機会が稀なので。グローバル変数は大文字。ローカル変数は小文字。エクスポートする変数も大文字。関数内からグローバル変数にアクセスする場合がありますが、やはり区別していると、可読性が増すような気がするのでお勧めです。2. コマンドの用法を最大限に活用する。具体的には以下。",6,158,"2013-10-09 23:41:06.745232","2013-10-09 23:41:06.745232"
119,"英語コミットコメントに使えそうなオシャレフレーズを聞いたので、これを使ってドヤ顔コミットをしたくてやれるチャンスを虎視眈々と狙う毎日です 。v, x, g, z とかこのへんが入ってる単語だとなんかカッコ良さ増す。tweak とかデザイナーにはだいぶ便利。単語。意味。",6,160,"2013-10-10 23:41:06.278717","2013-10-10 23:41:06.278717"
120,"くしくもクビ宣告と同じ日、田中の下半身露出写真が雑誌グラビアを飾っていた。修整入りだが、相当グロテスクなどアップ写真ばかり…。このネタ元は、田中と同い年でかつて付き合いのあった元人気AV女優・倖田梨沙(27)だという。ジャニタレにもモテモテの元カリスマAV女優・倖田梨紗 予兆はあった。このバーとは今年はじめ、田中が兄と経営していた店。田中にクビ宣告のあった9月30日発売の月刊誌「実話ナックルズ」には、田中の下半身写真が、巻頭グラビアでカラー掲載されている。「この写メを田中が送りつけてたのは、元人気AV嬢の倖田梨沙だよ」とは雑誌関係者。KAT—TUNは現在、グループとしての活動が激減。",6,159,"2013-10-10 23:41:06.538305","2013-10-10 23:41:06.538305"
121,"windowsでRails環境を構築しようとすると毎回ハマる。
その解決方法、sqlite3いけてないやろ",3,161,"2013-10-11 10:45:15.666177","2013-10-11 10:45:15.666177"
122,"MinGW 版 32bit Ruby 2.0 での sqlite3 の利用。Ruby から sqlite3 を使うには、 rubygems の sqlite3 を使うのが手軽です。しかし、 2013年5月27日時点では、 sqlite3 の Windows 用 gem には Ruby 2.0 向けのバイナリが入っていないようです。ここでは、 Windows 上の 32bit 版 Ruby 2.0 で sqlite3 gem を使う方法について、書いておきます。Windows 上での Ruby 2.0 での sqlite3 gem の準備。Ruby 2.0 のダウンロード。パスなどの初期設定。",6,161,"2013-10-11 23:41:05.765315","2013-10-11 23:41:05.765315"
124,"『SMAP×SMAP』(フジテレビ系)公式サイトより。9月30日、フジテレビ開局55周年特別番組『SMAP GO!GO!』内で放送された『古畑任三郎 VS SMAP その後』。その舞台裏を、演出・脚本を担当した三谷幸喜が、10日付の朝日新聞夕刊の連載「三谷幸喜のありふれた生活」で明かしている。朝日新聞夕刊の連載に、「『古畑任三郎 VS SMAP』の続編であっても、古畑任三郎が出ない以上、シリーズの新作とするのは妙である」とつづり、「古畑の生みの親として、それはやめて欲しいとプロデューサーにお願いしたが、結局、押し切られた」と、自身も不満を抱いていたことを吐露している。",6,163,"2013-10-12 23:41:05.884842","2013-10-12 23:41:05.884842"
125," [シネマトゥデイ芸能ニュース] 22日、連続ドラマ「東京バンドワゴン～下町大家族物語」の制作発表会見が、日本テレビにて行われ、KAT-TUNの亀梨和也と玉置浩二が「堀田家 BAND」としてスペシャルユニットを結成し、11月6日にシングル「サヨナラありがとう」をリリースすることを発表した。亀梨和也&玉置浩二、新ユニット「堀田家 BAND」結成! 画像ギャラリー。亀梨、玉置のほか、出演者の多部未華子、ミムラ、金子ノブアキ、平愛梨、尾澤ルナ、君野夢真、加賀まりこ、平泉成、井ノ原快彦(V6)、原作者の小路幸也、脚本家の大森美香が出席した制作発表会見。(磯部正和)。",6,164,"2013-10-12 23:41:07.129440","2013-10-12 23:41:07.129440"
126,"",6,162,"2013-10-12 23:41:07.616451","2013-10-12 23:41:07.616451"
128,"理不尽な野球界
巨人は強いかどうか知らない",3,166,"2013-10-13 09:40:53.638320","2013-10-13 09:40:53.638320"
129,"あｄｓふぁｄｓふぁｄ
",2,174,"2013-10-13 10:05:26.023145","2013-10-13 10:05:26.023145"
130,"ｄふぁｓｄふぁｓｄふぁｓｄｆ",2,173,"2013-10-13 10:05:40.009914","2013-10-13 10:05:40.009914"
131,"",6,169,"2013-10-13 23:41:07.766994","2013-10-13 23:41:07.766994"
132,"require 'geocoder'。require 'pp'。Geocoder.configure(:language  => :ja,  :units => :km )。pp Geocoder.address(""東京タワー"")。pp Geocoder.search(""東京タワー"")。pp Geocoder.search(""210.194.198.60"")。pp Geocoder.address(""210.194.198.60"")。pp Geocoder.search(""106.187.50.98"")。pp Geocoder.address(""106.187.50.98"")。",6,174,"2013-10-13 23:41:08.317835","2013-10-13 23:41:08.317835"
133,"# 積み木の水槽。water_level = blocks。}。next unless l_lv > lv。next unless r_lv > lv。end。test( ""3"", ""0"" )                                                     # 4。test( ""31"", ""0"" )                                                    # 5。test( ""412"", ""1"" )                                                   # 6。",6,173,"2013-10-13 23:41:08.819791","2013-10-13 23:41:08.819791"
134,"iPhone付属の「EarPods」。EarPodsのいいところ、色々紹介していきますっ!。EarPodsは今までのiPhone付属イヤフォンから、デザインだけでなく形も大きく進化しました。EarPods単品は3000円で購入できますが、同じ価格帯のイヤフォンにはまず負けない音質なんです。EarPodsの右側についたリモコン・マイク。通話時。そんなときは「Apple EarPods専用 シリコン製イヤホンカバー」!!!。EarPodsが合わないと感じる方にもオススメです。EarPodsのいいところをひと通りご紹介しました!。EarPods、iPhoneを買った方はぜひお使いください。",6,171,"2013-10-13 23:41:09.042447","2013-10-13 23:41:09.042447"
135,"動作環境。OS。MacOSX 10.8。Ruby。ruby 2.0.0p0。OpenCV。詳しくは前回を参考に.。カメラを利用する。#!/usr/bin/env ruby。require 'opencv'。include OpenCV。# マシンに接続されているカメラのうち, 1番めのカメラを利用する。camera = CvCapture.open(0)。window = GUI::Window.new('camera')。image = camera.query。window.show image。key = GUI::wait_key 10。break if key == 'q'。end。",6,172,"2013-10-13 23:41:09.392957","2013-10-13 23:41:09.392957"
136,"Xperia Z SO-02EのAndroid 4.2アップデートが週明けの10月15日に実施されるというクチコミが価格.comに投稿されていました。情報元はドコモショップの店員さんとされています。配信時刻は15日18時以降らしいのですが、Xperia Aの場合は午前中に開始されていたので、Xperia Zも午前中に配信開始となる可能性があります。ショップ店員が明かしたAndroid 4.2における変更内容は以下のとおりです。ロック画面にウィジェットが置くことが可能になる。Bluetoothテザリングに対応。Source : 価格.com。",6,168,"2013-10-13 23:41:09.936438","2013-10-13 23:41:09.936438"
137," プロ野球はクライマックスシリーズ(CS)、日本シリーズという1年のヤマ場を迎える。レギュラーシーズン大詰めのパ・リーグ、西武―ロッテの最終戦は2、3位を決める直接対決となり、大入り満員になるほど盛り上がった。",6,166,"2013-10-13 23:41:13.609655","2013-10-13 23:41:13.609655"
138,"今回は本当に自分用のメモです。ActiveRecordで特定のカラムをgroup byしてカウントして、そのカウント数を元にorder byして、配列で取得する手順です。日本語おかしいと思いますんで、コードでw。",6,165,"2013-10-13 23:41:14.080146","2013-10-13 23:41:14.080146"
139,"　iPhone付属の「EarPods」。EarPodsは今までのiPhone付属イヤフォンから、デザインだけでなく形も大きく進化しました。EarPods単品は3000円で購入できますが、同じ価格帯のイヤフォンにはまず負けない音質なんです。
　また、EarPodsの右側についたリモコン・マイク。音楽再生時以外にも、標準アプリと連携して色々な操作ができます。
　ちなみに僕が一番気に入っているのは、あの独特の形です。置くように装着できるのに、しっかりと音が聴こえます。カナル型と違い、ずっとつけていても耳が痛くなりません。EarPods、iPhoneを買った方はぜひお使いください。",1,171,"2013-10-14 00:59:22.806541","2013-10-14 00:59:22.806541"
140,"前回は画像から顔検出を行う方法を紹介したが, カメラも使えるといろいろ面白そうだなーと思い調べてみた.
",1,172,"2013-10-14 01:09:04.848044","2013-10-14 01:09:04.848044"
141,"1. 広告型 -- 見る人を集め、見せたい人がそれを買う
2. 実経済加速型 -- ネットのコスト削減効果を活かす
3. サービス提供チャリンチャリン系
4. 仮想世界のデータ販売 -- ファンを集め、世界観を売り出す
5. プラットフォーム構築 -- 選ばれし者の胴元化戦略",1,162,"2013-10-14 01:11:11.347889","2013-10-14 01:11:11.347889"
142,"IPや住所から詳細情報取得",1,174,"2013-10-14 15:34:04.540107","2013-10-14 15:34:04.540107"
143,"Qiitaに登録されているタグの一覧です。JavaScript、Ruby、PHP、iPhone、Android、Vim、Emacs、Objective-C、CoffeeScript、gitなど、Qiitaでは毎日様々なジャンルの投稿がされています。気になるタグを探してフォローしてみましょう。",1,169,"2013-10-14 15:34:43.925955","2013-10-14 15:34:43.925955"
144,"積み木の水槽(http://nabetani.sakura.ne.jp/hena/ord13blocktup/)という、
積み木で作られた水槽に水を入れたときの水の体積を求めよ、という問題に答えるサンプルコード。",1,173,"2013-10-14 15:38:57.340724","2013-10-14 15:38:57.340724"
145,"Quita に登録して、あなたも興味のあるニュースをキャッチアップしよう！

C++やC, PHPやPerlなどの言語から、VimやEmacs, Git のTipsなどいろいろあるよ。",5,169,"2013-10-14 16:42:26.193533","2013-10-14 16:42:26.193533"
146,"ノブコブ徳井　が不倫したと見せかけて、結局やらせ。
見る価値なし。",5,178,"2013-10-14 16:55:32.633667","2013-10-14 16:55:32.633667"
147,"Color-hex.com gives information about colors including color models (RGB,HSL,HSV and CMYK), Triadic colors, monochromatic colors and analogous colors calculated in color page. Color-hex.com also generates a simple css code for the selected color.。Latest Users Favourite Colors。",6,179,"2013-10-14 23:41:06.555792","2013-10-14 23:41:06.555792"
